row ID,row m/z,row retention time,오미자 중국1,오미자 중국2,오미자 중국3,오미자 중국4,오미자 중국5,오미자 중국6,오미자 중국7,오미자 중국8,오미자 중국9,오미자 중국10,오미자 중국11,오미자 중국12,오미자 중국13,오미자 중국14,오미자 중국15,오미자 중국16,오미자 중국17,오미자 중국18,오미자 중국19,오미자 중국20,오미자 중국21,오미자 중국22,오미자 중국23,오미자 중국24,오미자 중국25,오미자 중국26,오미자 중국27,오미자 한국1,오미자 한국2,오미자 한국3,오미자 한국4,오미자 한국5,오미자 한국6,오미자 한국7,오미자 한국8,오미자 한국9,오미자 한국10,오미자 한국11,오미자 한국12,오미자 한국13,오미자 한국14,오미자 한국15,오미자 한국16,오미자 한국17,오미자 한국18,오미자 한국19,오미자 한국20,오미자 한국21,오미자 한국22,오미자 한국23,오미자 한국24,오미자 한국25,오미자 한국26,오미자 한국27,오미자 한국28,오미자 한국29,오미자 한국30
61,129.0619134,36.12419938,0,0,0,0,0,0,0,0,0,2505270.947,2128772.49,0,0,0,0,436837.316,0,0,0,0,0,1382957.712,0,0,0,2785660.153,2866967.659,2984861.826,3583931.69,3285973.625,0,2679739.124,3818894.554,3872226.695,3276979.042,3652097.916,0,3132934.951,3602313.096,3528216.631,3284231.467,3812716.265,4002472.008,0,3531065.314,3017336.213,0,3369611.65,0,0,0,0,3565512.363,3148352.129,3434940.161,3316722.139,0
62,129.0429633,38.46241429,930309.813,0,208941.999,197057.744,0,0,0,0,0,163727.918,146925.458,193934.646,866519.072,0,457291.451,0,0,151087.919,0,139451.009,0,129780.23,0,0,0,191664.915,0,0,0,0,0,0,0,524449.241,0,0,0,0,0,0,0,0,627183.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,129.0443726,66.55654423,1083017.327,0,0,0,0,0,299687.072,0,396941.92,0,87520.396,284470.826,394804.098,113405.728,257066.921,0,0,115211.164,0,116379.545,0,0,104917.337,0,0,0,142186.633,236428.163,111631.121,290998.103,0,0,669470.417,0,492545.618,0,216105.777,0,509185.377,0,0,0,0,0,347234.889,0,245206.518,537763.176,391772.801,464665.097,493486.703,0,0,0,0,502066.304,0
64,131.0338586,32.48976267,0,285624.941,220495.957,186478.577,0,0,0,0,166702.27,0,205421.816,103973.089,0,0,0,0,244636.726,0,293330.375,0,0,136610.152,0,299043.424,0,0,226617.345,0,118199.546,0,0,0,119402.561,122162.344,0,107580.474,0,0,101052.689,95427.113,0,128314.967,0,0,0,0,0,0,0,0,122668.368,214777.544,249332.983,218388.871,233467.702,200587.285,251984.16
65,131.0225197,35.76678137,0,115706.02,198000.604,166385.996,150221.272,194510.012,0,181551.07,160423.351,378210.525,371521.53,187161.694,0,143240.038,163068.757,0,0,0,151618.221,204246.676,0,374687.602,0,121482.357,0,0,0,0,0,0,0,0,437768.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,131.0190103,35.92200476,0,0,0,0,0,0,0,0,0,1405771.965,1138603.602,0,0,0,0,0,0,0,86939.037,0,169829.915,654864.079,0,0,0,496179.289,0,0,0,0,0,365954.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,131.0329478,39.35241581,771481.524,0,0,0,0,0,230447.3,0,263819.861,200971.316,150092.741,178156.845,642928.87,0,400945.921,0,129894.048,132287.478,0,152934.278,0,159976.02,0,132998.159,273605.491,198196.277,411469.633,740769.685,440683.817,446815.96,621739.143,611382.588,0,0,603622.535,673825.123,672692.483,245528.275,0,670173.191,590482.182,667776.854,0,0,632329.694,331747.93,784300.165,650361.509,740324.73,0,744244.234,719516.938,618607.003,436888.473,587304.119,0,726703.005
68,133.0227069,32.48787333,0,467700.109,390873.252,329712.765,0,0,138340.609,0,284002.47,0,355758.751,190045.096,0,85818.515,0,0,417493.413,0,497690.438,0,0,252535.942,0,522873.94,0,435480.925,405186.597,153291.127,0,0,0,0,203854.953,210924.8,0,0,178688.942,187664.741,173128.273,166165.745,148303.561,219244.967,0,0,173590.6,0,0,0,0,0,0,0,420657.207,0,0,0,0
69,133.0288544,33.60703452,0,127101.163,160077.641,136730.784,0,116149.632,0,0,0,208468.528,146136.441,0,0,0,0,0,112895.432,0,0,120584.352,0,0,0,155364.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195549.304,188529.969,173636.368,186254.343,0,219307.232
70,133.0275697,35.78021987,82777.924,682127.017,850685.176,718807.063,465384.119,635437.554,303452.276,580439.955,752810.706,1006532.107,1114193.838,0,506105.33,360351.604,491215.87,0,378679.196,277393.109,0,660560.77,0,0,0,969330.455,0,1303809.703,0,1081369.935,0,0,0,909431.636,921844.915,0,0,0,0,1052927.682,1277877.025,647133.754,0,0,0,0,0,0,0,0,732836.321,0,0,0,0,0,0,0,0
